FEN,EVAL
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,27.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,13.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,11.0
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,26.0
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,4.0
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,25.0
r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 0 4,18.0
r1bqk1nr/1ppp1ppp/p1n5/2b1p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq - 0 5,45.0
r1bqk1nr/1ppp1ppp/p1n5/2b1p3/2BPP3/2P2N2/PP3PPP/RNBQK2R b KQkq - 0 5,42.0
r1bqk1nr/1ppp1ppp/p1n5/2b5/2BpP3/2P2N2/PP3PPP/RNBQK2R w KQkq - 0 6,-5.0
r1bqk1nr/1ppp1ppp/p1n5/2b5/2BPP3/5N2/PP3PPP/RNBQK2R b KQkq - 0 6,63.0
r1bqk1nr/1pppbppp/p1n5/8/2BPP3/5N2/PP3PPP/RNBQK2R w KQkq - 1 7,123.0
r1bqk1nr/1pppbppp/p1n5/8/2BPP3/1Q3N2/PP3PPP/RNB1K2R b KQkq - 2 7,94.0
r1bqk1nr/1pppbppp/p7/n7/2BPP3/1Q3N2/PP3PPP/RNB1K2R w KQkq - 3 8,75.0
r1bqk1nr/1pppbppp/p7/n7/2BPP3/5N2/PPQ2PPP/RNB1K2R b KQkq - 4 8,53.0
r1bqk1nr/1pppbppp/p7/8/2nPP3/5N2/PPQ2PPP/RNB1K2R w KQkq - 0 9,-68.0
r1bqk1nr/1pppbppp/p7/8/2QPP3/5N2/PP3PPP/RNB1K2R b KQkq - 0 9,14.0
r1bqk1nr/1pp1bppp/p2p4/8/2QPP3/5N2/PP3PPP/RNB1K2R w KQkq - 0 10,13.0
